Path,Surface(micron2),Phase_PV(nm),Phase_StdDev(nm),Phase_avg(nm),Phase_median(nm),Surface_density(pg/micron2),Dry_mass(pg),Optical_volume(micron3),Phase_max(nm),Phase_min(nm),Circularity,Perimeter(micron),Ellipse_axis_ratio,Convexity,Solidity,Surface_Centroid_X,Surface_Centroid_Y,Mass_Centroid_X,Mass_Centroid_Y
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0022.tif,581.004,362.335,97.534,131.071,114.486,0.728,423.07,76.153,362.626,0.291,0.597,110.57,0.929,0.754,0.773,185.102,174.148,184.6,172.506
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0022.tif,439.723,198.736,55.534,93.687,96.579,0.52,228.868,41.196,200.634,1.898,0.665,91.188,0.793,0.78,0.79,182.402,145.933,183.199,147.059
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0023.tif,456.698,183.199,48.175,80.896,82.43,0.449,205.251,36.945,176.633,-6.566,0.629,95.554,0.721,0.756,0.758,183.462,143.927,184.091,145.945
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0023.tif,694.904,354.431,94.037,111.047,83.576,0.617,428.706,77.167,342.527,-11.904,0.452,138.944,0.918,0.674,0.686,184.102,172.599,185.9,171.683
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0024.tif,697.642,310.448,85.603,106.03,82.009,0.589,410.949,73.971,309.778,-0.67,0.66,115.226,0.94,0.771,0.815,184.79,174.865,186.355,172.019
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos2_0025.tif,741.45,262.426,74.491,99.907,85.39,0.555,411.534,74.076,260.611,-1.815,0.664,118.424,0.905,0.75,0.812,184.367,174.521,186.187,171.911
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos20_0000.tif,412.343,442.077,155.738,220.816,230.144,1.227,505.845,91.052,444.974,2.897,0.95,73.853,0.943,0.823,0.879,211.28,172.518,211.406,172.206
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos20_0000.tif,186.184,643.463,172.828,208.238,153.17,1.157,215.392,38.771,648.121,4.658,0.695,58.004,0.625,0.788,0.783,352.003,23.621,352.919,23.807
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos20_0001.tif,415.628,446.206,155.252,218.592,220.864,1.214,504.738,90.853,450.278,4.071,0.952,74.074,0.946,0.804,0.875,210.474,172.211,211.006,172.169
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos20_0001.tif,520.22,648.313,128.742,101.838,55.869,0.566,294.324,52.978,650.497,2.184,0.483,116.355,0.516,0.723,0.736,350.093,31.226,353.629,25.629
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos20_0002.tif,411.795,447.364,157.082,221.495,226.523,1.231,506.724,91.21,452.574,5.21,0.956,73.587,0.963,0.799,0.87,210.701,172.235,211.055,171.949
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos20_0003.tif,419.462,446.441,156.139,216.467,218.941,1.203,504.441,90.799,451.526,5.085,0.865,78.073,0.927,0.793,0.865,210.213,172.243,210.765,172.082
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos20_0003.tif,522.958,656.125,133.906,108.816,64.271,0.605,316.144,56.906,660.443,4.318,0.514,113.039,0.453,0.727,0.745,350.716,31.195,355.65,24.942
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos20_0004.tif,420.009,450.374,155.824,217.1,223.857,1.206,506.577,91.184,455.419,5.044,0.833,79.588,0.916,0.78,0.853,210.581,172.343,210.919,172.022
/home/philippe/Desktop/Analyse_TopCat_Philippe/20210202-05_HeLa_40x/20210203_images/GRADX_Mitosis_1_MMStack_Pos20_0005.tif,480.793,434.494,155.309,190.813,171.209,1.06,509.674,91.741,437.13,2.636,0.788,87.558,0.816,0.773,0.837,211.827,171.196,211.441,171.747
